"","Gene.Set","Gene.Set.ID","Gene.Set.Name","Cluster","FDR","Num Cluster Genes","Gene.Set.Size","Total Num Cluster Genes","Num Sig Clusters","All Sig Clusters"
"533","DRSC GLAD Gene Group","GLAD:24606","Trans-membrane proteins","LinearDown-4",0.00618,91,3474,259,4,"Complex-12, LinearDown-1, LinearDown-4, LinearDown-6"
"534","FlyBase Gene Group","FBgg0001149","RRNA METHYLTRANSFERASES","LinearUp-4",0.00622,3,14,119,1,"LinearUp-4"
"535","FlyBase Gene Group","FBgg0000686","SOLUTE CARRIER FAMILY","Complex-12",0.00624,16,375,219,2,"Complex-12, LinearDown-6"
"536","FlyBase Gene Group","FBgg0001175","CPLCA CUTICLE PROTEIN FAMILY","Complex-12",0.00624,3,10,219,1,"Complex-12"
"537","FlyBase Gene Group","FBgg0001776","HEME PEROXIDASES","Complex-12",0.00624,3,10,219,1,"Complex-12"
"538","REACTOME pathway","R-DME-69306","DNA Replication","LinearUp-1",0.00627,11,113,438,1,"LinearUp-1"
"539","FlyBase Gene Group","FBgg0000141","CYTOPLASMIC RIBOSOMAL PROTEINS","LinearUp-2",0.00641,12,93,421,3,"Complex-6, LinearUp-1, LinearUp-2"
"540","FlyBase Gene Group","FBgg0000200","CYTOPLASMIC LARGE RIBOSOMAL PROTEINS","LinearUp-2",0.00641,9,54,421,3,"Complex-6, LinearUp-1, LinearUp-2"
"541","FlyBase Gene Group","FBgg0001715","ENZYMES","LinearUp-2",0.00641,152,3610,421,8,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearUp-2"
"542","SLIM2 GO BP","GO:0006839","mitochondrial transport","LinearDown-6",0.00649,21,106,1320,1,"LinearDown-6"
"543","SLIM2 GO MF","GO:0038023","signaling receptor activity","LinearDown-6",0.00649,62,408,1320,2,"LinearDown-4, LinearDown-6"
"544","REACTOME pathway","R-DME-194315","Signaling by Rho GTPases","LinearUp-5",0.00654,30,243,699,1,"LinearUp-5"
"545","REACTOME pathway","R-DME-9716542","Signaling by Rho GTPases, Miro GTPases and RHOBTB3","LinearUp-5",0.00654,30,247,699,1,"LinearUp-5"
"546","SLIM2 GO CC","GO:0005739","mitochondrion","Complex-3",0.00656,6,792,21,4,"Complex-2, Complex-3, Complex-7, LinearDown-6"
"547","REACTOME pathway","R-DME-532668","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","LinearUp-7",0.00661,3,15,130,2,"LinearUp-1, LinearUp-7"
"548","DRSC GLAD Gene Group","GLAD:24586","Glycoproteins","LinearUp-1",0.00676,25,379,438,4,"LinearDown-6, LinearUp-1, LinearUp-5, LinearUp-8"
"549","FlyBase Gene Group","FBgg0001708","MONOOXYGENASES","Complex-9",0.00678,5,106,69,3,"Complex-6, Complex-9, LinearUp-1"
"550","FlyBase Gene Group","FBgg0001715","ENZYMES","Complex-9",0.00678,33,3610,69,8,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearUp-2"
"551","SLIM2 GO CC","GO:0005856","cytoskeleton","LinearUp-5",0.00678,43,508,699,1,"LinearUp-5"
"552","SLIM2 GO MF","GO:0016491","oxidoreductase activity","LinearDown-1",0.00689,20,647,167,9,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"553","REACTOME pathway","R-DME-1489509","DAG and IP3 signaling","LinearDown-6",0.00693,8,19,1320,1,"LinearDown-6"
"554","REACTOME pathway","R-DME-9675108","Nervous system development","LinearDown-6",0.00693,30,155,1320,1,"LinearDown-6"
"555","REACTOME pathway","R-DME-216167","Nuclear CI is degraded","LinearUp-1",0.00699,6,38,438,1,"LinearUp-1"
"556","FlyBase Gene Group","FBgg0000491","MITOCHONDRIAL COMPLEX V SUBUNITS","Complex-12",0.00713,4,24,219,2,"Complex-12, LinearDown-6"
"557","REACTOME pathway","R-DME-181430","Norepinephrine Neurotransmitter Release Cycle","LinearDown-4",0.00715,6,42,259,1,"LinearDown-4"
"558","REACTOME pathway","R-DME-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","LinearUp-6",0.00734,6,85,115,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"559","REACTOME pathway","R-DME-72312","rRNA processing","LinearUp-6",0.00734,6,85,115,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"560","REACTOME pathway","R-DME-8868773","rRNA processing in the nucleus and cytosol","LinearUp-6",0.00734,6,85,115,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"561","REACTOME pathway","R-DME-111885","Opioid Signalling","LinearDown-6",0.00736,9,24,1320,1,"LinearDown-6"
"562","REACTOME pathway","R-DME-416476","G alpha (q) signalling events","LinearDown-6",0.00736,10,29,1320,1,"LinearDown-6"
"563","REACTOME pathway","R-DME-71406","Pyruvate metabolism and Citric Acid (TCA) cycle","LinearDown-6",0.00736,13,45,1320,1,"LinearDown-6"
"564","REACTOME pathway","R-DME-77387","Insulin receptor recycling","LinearDown-6",0.00736,9,24,1320,1,"LinearDown-6"
"565","REACTOME pathway","R-DME-209360","Ubiquitination and proteolysis of phosphorylated CI","LinearUp-1",0.00742,7,52,438,1,"LinearUp-1"
"566","REACTOME pathway","R-DME-112310","Neurotransmitter release cycle","LinearDown-4",0.00748,7,61,259,3,"Complex-12, LinearDown-4, LinearDown-6"
"567","FlyBase Gene Group","FBgg0000530","DPR-INTERACTING PROTEINS","LinearDown-6",0.0076,6,11,1320,1,"LinearDown-6"
"568","FlyBase Gene Group","FBgg0000324","RAS GTPASES","LinearDown-6",0.00764,7,15,1320,1,"LinearDown-6"
"569","REACTOME pathway","R-DME-201681","TCF dependent signaling in response to WNT","LinearUp-1",0.00764,10,99,438,1,"LinearUp-1"
"570","SLIM2 GO CC","GO:0005829","cytosol","Complex-8",0.00775,13,790,77,9,"Complex-10, Complex-5, Complex-6, Complex-7, Complex-8, LinearUp-1, LinearUp-2, LinearUp-5, LinearUp-7"
"571","REACTOME pathway","R-DME-432524","Degradation of PER","LinearUp-1",0.00786,6,39,438,1,"LinearUp-1"
"572","FlyBase Gene Group","FBgg0000056","INTRACELLULAR TRANSPORT COAT, SCAFFOLD AND ADAPTOR PROTEINS","LinearUp-5",0.00795,14,84,699,2,"LinearUp-5, LinearUp-7"
"573","SLIM2 GO MF","GO:0051082","unfolded protein binding","Complex-14",0.00796,5,90,84,2,"Complex-14, LinearUp-7"
"574","SLIM2 GO CC","GO:0005777","peroxisome","Complex-7",0.00833,4,100,66,2,"Complex-5, Complex-7"
"575","FlyBase Gene Group","FBgg0001106","TRANSMEMBRANE RECEPTORS","LinearDown-4",0.00837,21,457,259,2,"LinearDown-4, LinearDown-6"
"576","FlyBase Gene Group","FBgg0001837","MITOCHONDRIAL COMPLEX I - TESTIS-SPECIFIC VARIANT","Complex-12",0.00857,5,44,219,2,"Complex-12, LinearDown-6"
"577","SLIM2 GO BP","GO:0006520","cellular amino acid metabolic process","Complex-7",0.00864,6,185,66,4,"Complex-10, Complex-6, Complex-7, Complex-9"
"578","FlyBase Gene Group","FBgg0001187","CPLCG CUTICLE PROTEIN FAMILY","Complex-12",0.00876,2,3,219,1,"Complex-12"
"579","SLIM2 GO BP","GO:0050890","cognition","LinearDown-3",0.00876,13,162,334,3,"LinearDown-3, LinearDown-4, LinearDown-6"
"580","FlyBase Gene Group","FBgg0000208","PROTEASOME SUBUNITS","LinearUp-1",0.00885,8,50,438,1,"LinearUp-1"
"581","FlyBase Gene Group","FBgg0000963","M13 METALLOENDOPEPTIDASES","LinearUp-1",0.00885,6,27,438,1,"LinearUp-1"
"582","FlyBase Gene Group","FBgg0001844","PROTEASOME GROUPS","LinearUp-1",0.00885,8,50,438,1,"LinearUp-1"
"583","FlyBase Gene Group","FBgg0001846","PROTEASOME 26S COMPLEX VARIANTS","LinearUp-1",0.00885,8,50,438,1,"LinearUp-1"
"584","REACTOME pathway","R-DME-71291","Metabolism of amino acids and derivatives","Complex-6",0.0089,9,198,149,5,"Complex-10, Complex-4, Complex-6, Complex-7, LinearUp-1"
"585","SLIM2 GO BP","GO:0006399","tRNA metabolic process","LinearUp-5",0.00904,16,132,699,2,"LinearUp-5, LinearUp-8"
"586","REACTOME pathway","R-DME-109582","Hemostasis","LinearDown-6",0.00907,46,279,1320,1,"LinearDown-6"
"587","REACTOME pathway","R-DME-162582","Signal Transduction","LinearDown-4",0.00917,33,884,259,2,"LinearDown-4, LinearDown-6"
"588","REACTOME pathway","R-DME-211859","Biological oxidations","Complex-10",0.0092,5,108,78,3,"Complex-10, Complex-6, Complex-9"
"589","REACTOME pathway","R-DME-1296071","Potassium Channels","LinearDown-4",0.00922,5,30,259,2,"LinearDown-4, LinearDown-6"
"590","FlyBase Gene Group","FBgg0001566","YLQF/YAWG GTPASES","LinearUp-4",0.00929,2,4,119,1,"LinearUp-4"
"591","FlyBase Gene Group","FBgg0001765","C/D SMALL NUCLEOLAR RIBONUCLEOPROTEIN COMPLEX","LinearUp-4",0.00929,2,4,119,1,"LinearUp-4"
"592","SLIM2 GO BP","GO:0035556","intracellular signal transduction","LinearDown-6",0.00929,84,625,1320,2,"LinearDown-4, LinearDown-6"
"593","REACTOME pathway","R-DME-390471","Association of TriC/CCT with target proteins during biosynthesis","LinearUp-5",0.00937,5,9,699,2,"LinearUp-5, LinearUp-7"
"594","REACTOME pathway","R-DME-917729","Endosomal Sorting Complex Required For Transport (ESCRT)","LinearUp-5",0.00937,7,20,699,2,"LinearUp-1, LinearUp-5"
"595","FlyBase Gene Group","FBgg0001099","ATTACINS","LinearUp-8",0.00942,3,4,328,1,"LinearUp-8"
"596","REACTOME pathway","R-DME-211945","Phase I - Functionalization of compounds","Complex-10",0.00952,4,63,78,1,"Complex-10"
"597","DRSC GLAD Gene Group","GLAD:24595","Mitochondrial","Complex-2",0.00974,7,973,27,8,"Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"598","REACTOME pathway","R-DME-1592230","Mitochondrial biogenesis","Complex-12",0.00974,4,20,219,2,"Complex-12, LinearDown-6"
"599","SLIM2 GO BP","GO:0007186","G protein-coupled receptor signaling pathway","Complex-11",0.00983,8,218,97,3,"Complex-11, LinearDown-4, LinearDown-6"
"600","FlyBase Gene Group","FBgg0001481","NON-PEPTIDASE HOMOLOGS","Complex-13",0.00989,5,168,56,2,"Complex-13, LinearUp-1"
"601","REACTOME pathway","R-DME-391908","Prostanoid ligand receptors","LinearDown-6",0.0101,4,5,1320,1,"LinearDown-6"
"602","REACTOME pathway","R-DME-432395","Degradation of TIM","LinearUp-1",0.0101,6,41,438,1,"LinearUp-1"
"603","REACTOME pathway","R-DME-168249","Innate Immune System","LinearUp-2",0.0103,41,656,421,2,"LinearUp-1, LinearUp-2"
"604","REACTOME pathway","R-DME-168256","Immune System","LinearUp-2",0.0103,49,856,421,2,"LinearUp-1, LinearUp-2"
"605","REACTOME pathway","R-DME-72613","Eukaryotic Translation Initiation","LinearUp-2",0.0103,13,113,421,3,"Complex-6, LinearUp-1, LinearUp-2"
"606","REACTOME pathway","R-DME-72737","Cap-dependent Translation Initiation","LinearUp-2",0.0103,13,113,421,3,"Complex-6, LinearUp-1, LinearUp-2"
"607","REACTOME pathway","R-DME-9013148","CDC42 GTPase cycle","LinearDown-4",0.0103,7,67,259,1,"LinearDown-4"
"608","REACTOME pathway","R-DME-9012999","RHO GTPase cycle","LinearUp-5",0.0104,25,203,699,1,"LinearUp-5"
"609","SLIM2 GO BP","GO:0042254","ribosome biogenesis","LinearUp-2",0.0105,15,206,421,4,"LinearUp-1, LinearUp-2, LinearUp-4, LinearUp-6"
"610","SLIM2 GO BP","GO:0048878","chemical homeostasis","LinearUp-2",0.0105,18,270,421,2,"LinearDown-6, LinearUp-2"
"611","REACTOME pathway","R-DME-1430728","Metabolism","Complex-7",0.0105,15,1212,66,11,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6, LinearUp-1"
"612","REACTOME pathway","R-DME-157858","Gap junction trafficking and regulation","LinearDown-6",0.0105,6,12,1320,1,"LinearDown-6"
"613","REACTOME pathway","R-DME-190828","Gap junction trafficking","LinearDown-6",0.0105,6,12,1320,1,"LinearDown-6"
"614","REACTOME pathway","R-DME-190873","Gap junction degradation","LinearDown-6",0.0105,6,12,1320,1,"LinearDown-6"
"615","REACTOME pathway","R-DME-500792","GPCR ligand binding","LinearDown-6",0.0105,13,47,1320,2,"LinearDown-4, LinearDown-6"
"616","REACTOME pathway","R-DME-5628897","TP53 Regulates Metabolic Genes","LinearDown-6",0.0105,15,59,1320,1,"LinearDown-6"
"617","FlyBase Gene Group","FBgg0000835","ACYL-COA SYNTHETASES","Complex-2",0.0107,2,23,27,1,"Complex-2"
"618","FlyBase Gene Group","FBgg0000923","OXIDOREDUCTASES","Complex-2",0.0107,6,589,27,6,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-9, LinearDown-1"
"619","REACTOME pathway","R-DME-1430728","Metabolism","Complex-4",0.0107,7,1212,15,11,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6, LinearUp-1"
"620","FlyBase Gene Group","FBgg0000924","CH-OH OXIDOREDUCTASES, NAD OR NADP AS ACCEPTOR","Complex-7",0.011,5,106,66,4,"Complex-10, Complex-2, Complex-7, LinearDown-1"
"621","FlyBase Gene Group","FBgg0001715","ENZYMES","Complex-7",0.011,32,3610,66,8,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearUp-2"
"622","SLIM2 GO MF","GO:0016298","lipase activity","Complex-7",0.0111,4,76,66,1,"Complex-7"
"623","SLIM2 GO MF","GO:0016491","oxidoreductase activity","Complex-7",0.0111,10,647,66,9,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"624","SLIM2 GO MF","GO:0052689","carboxylic ester hydrolase activity","Complex-7",0.0111,4,89,66,1,"Complex-7"
"625","FlyBase Gene Group","FBgg0000677","SLC9 FAMILY OF SODIUM/PROTON EXCHANGERS","LinearDown-6",0.0112,4,5,1320,1,"LinearDown-6"
"626","FlyBase Gene Group","FBgg0001575","NUCLEOSIDE TRIPHOSPHATE PHOSPHATASES","LinearUp-7",0.0112,9,249,130,1,"LinearUp-7"
"627","SLIM2 GO BP","GO:0016192","vesicle-mediated transport","LinearUp-8",0.0112,25,510,328,5,"LinearDown-4, LinearDown-6, LinearUp-5, LinearUp-7, LinearUp-8"
"628","REACTOME pathway","R-DME-1280218","Adaptive Immune System","LinearUp-1",0.0113,20,301,438,1,"LinearUp-1"
"629","REACTOME pathway","R-DME-112043","PLC beta mediated events","LinearDown-6",0.0115,8,21,1320,1,"LinearDown-6"
"630","REACTOME pathway","R-DME-156590","Glutathione conjugation","Complex-9",0.012,3,24,69,1,"Complex-9"
"631","REACTOME pathway","R-DME-211859","Biological oxidations","Complex-9",0.012,5,108,69,3,"Complex-10, Complex-6, Complex-9"
"632","REACTOME pathway","R-DME-382551","Transport of small molecules","Complex-12",0.012,18,445,219,2,"Complex-12, LinearDown-6"
"633","REACTOME pathway","R-DME-8978868","Fatty acid metabolism","Complex-12",0.012,9,137,219,2,"Complex-12, Complex-2"
"634","REACTOME pathway","R-DME-1606322","ZBP1(DAI) mediated induction of type I IFNs","LinearUp-1",0.0121,3,9,438,1,"LinearUp-1"
"635","REACTOME pathway","R-DME-1810476","RIP-mediated NFkB activation via ZBP1","LinearUp-1",0.0121,3,9,438,1,"LinearUp-1"
"636","REACTOME pathway","R-DME-209412","Wingless pathway","LinearUp-1",0.0121,7,57,438,1,"LinearUp-1"
"637","REACTOME pathway","R-DME-73817","Purine ribonucleoside monophosphate biosynthesis","LinearUp-1",0.0121,3,9,438,1,"LinearUp-1"
"638","REACTOME pathway","R-DME-112310","Neurotransmitter release cycle","Complex-12",0.0122,6,61,219,3,"Complex-12, LinearDown-4, LinearDown-6"
"639","SLIM2 GO BP","GO:0030154","cell differentiation","LinearDown-6",0.0124,198,1680,1320,4,"LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"640","SLIM2 GO CC","GO:0099503","secretory vesicle","LinearDown-4",0.0124,7,91,259,2,"LinearDown-4, LinearDown-6"
"641","SLIM2 GO CC","GO:0005777","peroxisome","Complex-5",0.0125,3,100,33,2,"Complex-5, Complex-7"
"642","SLIM2 GO CC","GO:0005829","cytosol","Complex-5",0.0125,7,790,33,9,"Complex-10, Complex-5, Complex-6, Complex-7, Complex-8, LinearUp-1, LinearUp-2, LinearUp-5, LinearUp-7"
"643","FlyBase Gene Group","FBgg0000927","UNCLASSIFIED CH-OH OXIDOREDUCTASES, NAD OR NADP AS ACCEPTOR","Complex-10",0.0126,3,35,78,2,"Complex-10, Complex-2"
"644","FlyBase Gene Group","FBgg0001504","S9 NON-PEPTIDASE HOMOLOGS","Complex-11",0.013,3,16,97,1,"Complex-11"
"645","FlyBase Gene Group","FBgg0001685","RAGULATOR COMPLEX","LinearUp-1",0.0131,3,5,438,1,"LinearUp-1"
"646","SLIM2 GO BP","GO:0005975","carbohydrate metabolic process","Complex-3",0.0131,4,260,21,3,"Complex-10, Complex-3, LinearDown-6"
"647","REACTOME pathway","R-DME-209446","N-HH ligand not bound to PTC receptor complex","LinearUp-1",0.0132,7,58,438,1,"LinearUp-1"
"648","FlyBase Gene Group","FBgg0000215","ENDOSOMAL SORTING COMPLEXES REQUIRED FOR TRANSPORT","LinearUp-1",0.0134,5,20,438,2,"LinearUp-1, LinearUp-5"
"649","FlyBase Gene Group","FBgg0000582","ION CHANNELS","LinearDown-6",0.0134,43,260,1320,1,"LinearDown-6"
"650","FlyBase Gene Group","FBgg0001222","CYTOCHROME P450","LinearUp-1",0.0134,10,84,438,2,"Complex-9, LinearUp-1"
"651","FlyBase Gene Group","FBgg0001481","NON-PEPTIDASE HOMOLOGS","LinearUp-1",0.0134,15,168,438,2,"Complex-13, LinearUp-1"
"652","SLIM2 GO BP","GO:0006403","RNA localization","LinearUp-2",0.0135,13,172,421,1,"LinearUp-2"
"653","FlyBase Gene Group","FBgg0000570","NON-NMDA IONOTROPIC GLUTAMATE RECEPTORS - GLURII NEUROMUSCULAR JUNCTION-SUBTYPE","LinearUp-4",0.0136,2,5,119,1,"LinearUp-4"
"654","SLIM2 GO BP","GO:0006950","response to stress","LinearUp-7",0.0137,23,1197,130,5,"LinearUp-2, LinearUp-3, LinearUp-5, LinearUp-7, LinearUp-8"
"655","REACTOME pathway","R-DME-2262752","Cellular responses to stress","Complex-14",0.0137,9,332,84,2,"Complex-14, LinearUp-1"
"656","REACTOME pathway","R-DME-8937144","Aryl hydrocarbon receptor signalling","Complex-14",0.0137,2,4,84,1,"Complex-14"
"657","REACTOME pathway","R-DME-8953897","Cellular responses to stimuli","Complex-14",0.0137,9,332,84,2,"Complex-14, LinearUp-1"
"658","REACTOME pathway","R-DME-9652282","Drug-mediated inhibition of ERBB2 signaling","Complex-14",0.0137,2,4,84,1,"Complex-14"
"659","REACTOME pathway","R-DME-442660","Na+/Cl- dependent neurotransmitter transporters","Complex-12",0.0138,5,42,219,1,"Complex-12"
"660","SLIM2 GO BP","GO:0006605","protein targeting","LinearUp-8",0.0139,10,128,328,1,"LinearUp-8"
"661","FlyBase Gene Group","FBgg0001626","UNCLASSIFIED ALDEHYDE OR OXO OXIDOREDUCTASES, NAD OR NADP AS ACCEPTOR","Complex-3",0.014,2,16,21,1,"Complex-3"
"662","DRSC GLAD Gene Group","GLAD:24583","Autophagy-related","Complex-3",0.014,3,207,21,2,"Complex-3, LinearUp-7"
"663","REACTOME pathway","R-DME-1296041","Activation of G protein gated Potassium channels","LinearDown-6",0.0141,5,9,1320,1,"LinearDown-6"
"664","REACTOME pathway","R-DME-1296059","G protein gated Potassium channels","LinearDown-6",0.0141,5,9,1320,1,"LinearDown-6"
"665","REACTOME pathway","R-DME-1296065","Inwardly rectifying K+ channels","LinearDown-6",0.0141,5,9,1320,1,"LinearDown-6"
"666","REACTOME pathway","R-DME-181431","Acetylcholine binding and downstream events","LinearDown-6",0.0141,5,9,1320,1,"LinearDown-6"
"667","REACTOME pathway","R-DME-622327","Postsynaptic nicotinic acetylcholine receptors","LinearDown-6",0.0141,5,9,1320,1,"LinearDown-6"
"668","REACTOME pathway","R-DME-629594","Highly calcium permeable postsynaptic nicotinic acetylcholine receptors","LinearDown-6",0.0141,5,9,1320,1,"LinearDown-6"
"669","REACTOME pathway","R-DME-917977","Transferrin endocytosis and recycling","LinearDown-6",0.0141,8,22,1320,1,"LinearDown-6"
"670","REACTOME pathway","R-DME-977444","GABA B receptor activation","LinearDown-6",0.0141,7,17,1320,1,"LinearDown-6"
"671","REACTOME pathway","R-DME-991365","Activation of GABAB receptors","LinearDown-6",0.0141,7,17,1320,1,"LinearDown-6"
"672","REACTOME pathway","R-DME-997272","Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits","LinearDown-6",0.0141,5,9,1320,1,"LinearDown-6"
"673","FlyBase Gene Group","FBgg0000503","HEAT SHOCK PROTEIN 60 CHAPERONINS","LinearUp-5",0.0145,5,12,699,1,"LinearUp-5"
"674","REACTOME pathway","R-DME-112315","Transmission across Chemical Synapses","LinearDown-4",0.0145,11,169,259,2,"LinearDown-4, LinearDown-6"
"675","REACTOME pathway","R-DME-112313","Neurotransmitter uptake and metabolism In glial cells","Complex-12",0.0147,2,3,219,1,"Complex-12"
"676","REACTOME pathway","R-DME-1430728","Metabolism","Complex-12",0.0147,35,1212,219,11,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6, LinearUp-1"
"677","REACTOME pathway","R-DME-165159","MTOR signalling","LinearUp-1",0.0147,5,31,438,1,"LinearUp-1"
"678","REACTOME pathway","R-DME-210455","Astrocytic Glutamate-Glutamine Uptake And Metabolism","Complex-12",0.0147,2,3,219,1,"Complex-12"
"679","REACTOME pathway","R-DME-983169","Class I MHC mediated antigen processing & presentation","LinearUp-1",0.0148,16,225,438,1,"LinearUp-1"
"680","DRSC GLAD Gene Group","GLAD:24601","RNA-binding","LinearDown-3",0.0149,28,573,334,2,"LinearDown-3, LinearUp-4"
"681","SLIM2 GO CC","GO:0005886","plasma membrane","Complex-12",0.0149,35,1267,219,4,"Complex-12, LinearDown-3, LinearDown-4, LinearDown-6"
"682","SLIM2 GO BP","GO:0016192","vesicle-mediated transport","LinearDown-4",0.015,20,510,259,5,"LinearDown-4, LinearDown-6, LinearUp-5, LinearUp-7, LinearUp-8"
"683","REACTOME pathway","R-DME-425366","Transport of bile salts and organic acids, metal ions and amine compounds","Complex-12",0.015,6,68,219,1,"Complex-12"
"684","SLIM2 GO BP","GO:0007166","cell surface receptor signaling pathway","LinearDown-6",0.0151,86,656,1320,4,"LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"685","SLIM2 GO BP","GO:0007623","circadian rhythm","Complex-11",0.0151,6,153,97,3,"Complex-11, LinearDown-4, LinearDown-6"
"686","SLIM2 GO BP","GO:0009605","response to external stimulus","Complex-11",0.0151,17,995,97,5,"Complex-11, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"687","REACTOME pathway","R-DME-73887","Death Receptor Signaling","LinearUp-1",0.0155,6,45,438,2,"LinearDown-6, LinearUp-1"
"688","FlyBase Gene Group","FBgg0000551","ABCB ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY - FULL TRANSPORTERS","Complex-12",0.0156,2,4,219,1,"Complex-12"
"689","FlyBase Gene Group","FBgg0001387","MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS","Complex-12",0.0156,4,31,219,2,"Complex-12, LinearDown-6"
"690","FlyBase Gene Group","FBgg0001720","TRANSLOCASES","Complex-12",0.0156,7,104,219,1,"Complex-12"
"691","REACTOME pathway","R-DME-1483226","Synthesis of PI","LinearDown-6",0.0156,3,3,1320,1,"LinearDown-6"
"692","REACTOME pathway","R-DME-209452","N-HH ligand bound to PTC receptor complex","LinearUp-1",0.0156,7,60,438,1,"LinearUp-1"
"693","REACTOME pathway","R-DME-425986","Sodium/Proton exchangers","LinearDown-6",0.0156,3,3,1320,1,"LinearDown-6"
"694","REACTOME pathway","R-DME-69242","S Phase","LinearUp-1",0.016,11,129,438,1,"LinearUp-1"
"695","REACTOME pathway","R-DME-901032","ER Quality Control Compartment (ERQC)","Complex-6",0.016,2,4,149,2,"Complex-6, LinearUp-1"
"696","FlyBase Gene Group","FBgg0001106","TRANSMEMBRANE RECEPTORS","LinearDown-6",0.0163,67,457,1320,2,"LinearDown-4, LinearDown-6"
"697","DRSC GLAD Gene Group","GLAD:24602","Secreted proteins","LinearUp-5",0.0163,53,671,699,3,"Complex-12, Complex-7, LinearUp-5"
"698","FlyBase Gene Group","FBgg0000923","OXIDOREDUCTASES","LinearDown-1",0.0166,19,589,167,6,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-9, LinearDown-1"
"699","SLIM2 GO BP","GO:0030036","actin cytoskeleton organization","LinearUp-2",0.0168,18,285,421,3,"LinearDown-6, LinearUp-2, LinearUp-5"
"700","FlyBase Gene Group","FBgg0000489","MITOCHONDRIAL COMPLEX V - F0 SUBUNITS","LinearDown-6",0.0169,7,17,1320,1,"LinearDown-6"
"701","FlyBase Gene Group","FBgg0000922","CH-OH GROUP OXIDOREDUCTASES","Complex-7",0.0169,5,127,66,5,"Complex-10, Complex-2, Complex-3, Complex-7, LinearDown-1"
"702","REACTOME pathway","R-DME-111933","Calmodulin induced events","LinearDown-6",0.0169,7,18,1320,1,"LinearDown-6"
"703","REACTOME pathway","R-DME-111996","Ca-dependent events","LinearDown-6",0.0169,7,18,1320,1,"LinearDown-6"
"704","REACTOME pathway","R-DME-111997","CaM pathway","LinearDown-6",0.0169,7,18,1320,1,"LinearDown-6"
"705","REACTOME pathway","R-DME-112040","G-protein mediated events","LinearDown-6",0.017,8,23,1320,1,"LinearDown-6"
"706","REACTOME pathway","R-DME-1222556","ROS and RNS production in phagocytes","LinearDown-6",0.017,8,23,1320,1,"LinearDown-6"
"707","REACTOME pathway","R-DME-6781823","Formation of TC-NER Pre-Incision Complex","LinearUp-1",0.017,6,46,438,1,"LinearUp-1"
"708","REACTOME pathway","R-DME-177929","Signaling by EGFR","LinearUp-5",0.0172,7,23,699,1,"LinearUp-5"
"709","SLIM2 GO MF","GO:0003924","GTPase activity","LinearDown-6",0.0175,26,144,1320,1,"LinearDown-6"
"710","SLIM2 GO MF","GO:0016491","oxidoreductase activity","Complex-2",0.0175,6,647,27,9,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"711","SLIM2 GO MF","GO:0016491","oxidoreductase activity","LinearDown-6",0.0175,87,647,1320,9,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"712","SLIM2 GO BP","GO:0007623","circadian rhythm","LinearDown-4",0.0178,9,153,259,3,"Complex-11, LinearDown-4, LinearDown-6"
"713","FlyBase Gene Group","FBgg0000512","POTASSIUM CHANNEL SUBUNITS","LinearDown-6",0.0179,9,27,1320,2,"LinearDown-4, LinearDown-6"
"714","REACTOME pathway","R-DME-180024","DARPP-32 events","LinearDown-6",0.0179,4,6,1320,1,"LinearDown-6"
"715","REACTOME pathway","R-DME-71291","Metabolism of amino acids and derivatives","Complex-10",0.0179,6,198,78,5,"Complex-10, Complex-4, Complex-6, Complex-7, LinearUp-1"
